RunId_Template,Load Type,Name,Concurrent Users,Think Time,Load TPS,RunId_Log,Type,Log Record Type,Count,Avg CPU Time,Total App CPU (ms),Avg RunTime,Total runTime (ms),Avg DBTotalTime (ms),Total DBTime (ms),Avg Allocated Memory (MB),Total Allocated Memory (MB)
ff0df22a-ad52-47e4-8332-419fc5740310,nebula,nebula-multiEntity,200,15000,NA,ff0df22a-ad52-47e4-8332-419fc5740310,Aggregate,ALL Logs,2042038,138.53,282883524,226.52,462562448,63.02,128689235,55.49,113312689
ff0df22a-ad52-47e4-8332-419fc5740310,nebula,nebula-multiEntity-cisco,50,15000,NA,ff0df22a-ad52-47e4-8332-419fc5740310,Individual,A,389521,100.74,39240346,198.98,77506889,70.22,27352165,20.12,7837163
ff0df22a-ad52-47e4-8332-419fc5740310,nebula,nebula-topUserFlow,150,12000,NA,ff0df22a-ad52-47e4-8332-419fc5740310,Individual,L,39568,22.91,906503,65.67,2598431,36.42,1441067,3.58,141653
ff0df22a-ad52-47e4-8332-419fc5740310,nebula,nebula-hvsFlow,50,12000,NA,ff0df22a-ad52-47e4-8332-419fc5740310,Individual,R,17578,1301.97,22886029,3079.81,54136900,1588.49,27922477,1634.27,28727198
ff0df22a-ad52-47e4-8332-419fc5740310,nebula,nebula-reports,10,15000,NA,ff0df22a-ad52-47e4-8332-419fc5740310,Individual,U,1022228,107.52,109909955,170.06,173840094,43.52,44487363,26.97,27569489
ff0df22a-ad52-47e4-8332-419fc5740310,nebula,nebula-dashboards,10,15000,NA,ff0df22a-ad52-47e4-8332-419fc5740310,Individual,V,23976,599.12,14364501,650.79,15603341,25.37,608271,221.29,5305649
ff0df22a-ad52-47e4-8332-419fc5740310,replayforce,replayforce-A,NA,NA,20,ff0df22a-ad52-47e4-8332-419fc5740310,Individual,a,17934,1086.87,19491927,1668.54,29923596,261.30,4686154,317.37,5691714
ff0df22a-ad52-47e4-8332-419fc5740310,replayforce,replayforce-aprst,NA,NA,20,ff0df22a-ad52-47e4-8332-419fc5740310,Individual,apars,34005,364.14,12382581,394.85,13426874,12.54,426423,63.42,2156597
ff0df22a-ad52-47e4-8332-419fc5740310,replayforce,replayforce-U,NA,NA,20,ff0df22a-ad52-47e4-8332-419fc5740310,Individual,aprst,497228,128.12,63704851,192.13,95532416,43.89,21823337,71.55,35576663
ff0df22a-ad52-47e4-8332-419fc5740310,jmeter,chatter,15,700,15,,,,,,,,,,,,
ff0df22a-ad52-47e4-8332-419fc5740310,jmeter,apex-rest,10,500,10,,,,,,,,,,,,
ff0df22a-ad52-47e4-8332-419fc5740310,jmeter,apex-soap,10,500,5,,,,,,,,,,,,
ff0df22a-ad52-47e4-8332-419fc5740310,jmeter,write,15,500,15,,,,,,,,,,,,
ff0df22a-ad52-47e4-8332-419fc5740310,jmeter,reports,10,500,10,,,,,,,,,,,,
ff0df22a-ad52-47e4-8332-419fc5740310,jmeter,bulkapi,NA,NA,NA,,,,,,,,,,,,
ff0df22a-ad52-47e4-8332-419fc5740310,jmeter,PlatformEvents,5,500,5,,,,,,,,,,,,
ff0df22a-ad52-47e4-8332-419fc5740310,jmeter,composite-rest-api-cisco,5,500,5,,,,,,,,,,,,
ff0df22a-ad52-47e4-8332-419fc5740310,k6,soap-api-cisco,10,NA,5,,,,,,,,,,,,
ff0df22a-ad52-47e4-8332-419fc5740310,k6,write-cisco,10,NA,5,,,,,,,,,,,,
ff0df22a-ad52-47e4-8332-419fc5740310,jmeter,MDAPI-Workloads,NA,NA,NA,,,,,,,,,,,,
ff0df22a-ad52-47e4-8332-419fc5740310,jmeter,MDAPI-Workloads-deploy,NA,NA,NA,,,,,,,,,,,,
ff0df22a-ad52-47e4-8332-419fc5740310,jmeter,export-reports,NA,500,5,,,,,,,,,,,,
ff0df22a-ad52-47e4-8332-419fc5740310,jmeter,HealthCheck-4,NA,NA,NA,,,,,,,,,,,,
